Year,Total Recharge (1000 af),Total Discharge (1000 af),Spring Discharge (1000 af),Well Discharge (1000 af),Precipitation at San Antonio (inches)
1934,179.60,437.90,336.00,101.90,27.65
1935,1258.20,519.60,415.90,103.70,42.93
1936,909.60,598.20,485.50,112.70,34.11
1937,400.70,571.20,451.00,120.20,26.07
1938,432.70,557.80,437.70,120.10,23.26
1939,399.00,432.80,313.90,118.90,18.83
1940,308.80,416.60,296.50,120.10,30.79
1941,850.70,601.20,464.40,136.80,26.34
1942,557.80,594.70,450.10,144.60,38.46
1943,273.10,539.30,390.20,149.10,20.51
1944,560.90,567.40,420.10,147.30,33.19
1945,527.80,614.80,461.50,153.30,30.46
1946,556.10,583.90,428.90,155.00,45.17
1947,422.60,593.50,426.50,167.00,17.32
1948,178.30,450.60,281.90,168.70,23.64
1949,508.10,479.80,300.40,179.40,40.81
1950,200.20,466.70,272.90,193.80,19.86
1951,139.20,425.60,215.90,209.70,24.44
1952,275.50,424.90,209.50,215.40,26.24
1953,167.60,468.30,238.50,229.80,17.56
1954,162.10,424.30,178.10,246.20,13.70
1955,192.00,388.80,127.80,261.00,18.18
1956,43.70,390.90,69.80,321.10,14.31
1957,1142.60,456.50,219.20,237.30,48.83
1958,1711.20,617.50,398.20,219.30,39.69
1959,690.40,619.00,384.50,234.50,24.50
1960,824.80,655.40,428.30,227.10,29.76
1961,717.10,683.50,455.30,228.20,26.47
1962,239.40,589.00,321.10,267.90,23.90
1963,170.70,516.00,239.60,276.40,18.65
1964,413.20,474.00,213.80,260.20,31.88
1965,623.50,578.90,322.80,256.10,36.65
1966,615.20,571.20,315.30,255.90,21.44
1967,466.50,557.40,216.10,341.30,29.26
1968,884.70,660.00,408.30,251.70,30.40
1969,610.50,658.70,351.20,307.50,31.42
1970,661.60,727.10,397.70,329.40,22.74
1971,925.30,679.50,272.70,406.80,31.80
1972,756.40,747.10,375.80,371.30,31.49
1973,1486.50,838.00,527.60,310.40,52.28
1974,658.50,861.20,483.80,377.40,37.00
1975,973.00,868.20,540.40,327.80,25.67
1976,894.10,853.40,503.90,349.50,39.13
1977,952.00,960.90,580.30,380.60,29.64
1978,502.50,807.30,375.50,431.80,35.99
1979,1117.80,914.50,523.00,391.50,36.64
1980,406.40,819.40,328.30,491.10,24.23
1981,1448.30,794.40,407.30,387.10,36.37
1982,422.40,786.40,333.30,453.10,22.96
1983,420.10,720.10,301.60,418.50,26.11
1984,197.70,708.10,178.30,529.80,25.95
1985,1003.30,856.50,334.00,522.50,41.43
1986,1153.80,817.30,388.00,429.30,42.73
1987,2003.50,922.00,557.90,364.10,37.96
1988,355.50,909.70,369.70,540.00,19.01
1989,214.40,766.50,224.10,542.40,22.14
1990,1123.10,730.00,240.60,489.40,38.31
1991,1508.40,790.60,354.60,436.30,42.76
1992,2486.00,1130.00,802.80,327.20,46.49
1993,447.60,996.70,589.40,407.30,32.00
1994,538.10,814.80,390.20,424.60,40.42
1995,531.30,761.00,361.30,399.60,23.06
1996,324.30,705.60,212.00,493.60,17.80
1997,1134.60,761.10,383.90,377.10,33.95
1998,1142.30,917.60,464.10,453.50,42.10
1999,473.40,898.80,456.10,442.70,16.63
2000,614.50,752.30,337.50,414.80,35.86
2001,1069.40,890.00,529.60,367.70,36.72
2002,1573.70,981.20,609.90,371.30,46.27
2003,669.00,976.90,621.50,362.10,28.45
2004,2176.10,940.30,622.90,317.40,45.33
2005,764.00,1035.60,647.10,388.50,16.54
2006,201.60,766.50,312.00,454.50,21.34
2007,2162.30,940.90,621.00,319.90,47.25
2008,212.90,845.70,417.10,428.60,13.76
2009,210.90,683.60,287.90,395.70,30.69
2010,813.50,863.50,490.00,372.60,37.39
2011,112.00,692.90,265.20,427.70,17.58
2012,313.50,687.00,302.30,384.70,39.40
2013,182.60,588.60,232.80,355.80,32.00
2014,107.20,527.60,195.40,332.20,28.20
2015,1358.10,792.70,404.50,325.20,44.22
2016,1221.20,870.30,545.00,325.30,43.92
2017,487.00,872.20,493.00,379.20,27.33
2018,1100.00,763.60,393.00,370.60,41.20
2019,492.00,884.60,526.00,358.60,22.02
2020,184.00,716.10,353.70,362.40,20.70
